,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Pevek,RU,69.7,170.31,-22.45,-22.45,100,86,3.31,overcast clouds
277,Norman Wells,CA,65.28,-126.83,-17.48,-17.48,99,27,1.88,scattered clouds
390,Aklavik,CA,68.22,-135.01,-17.23,-17.23,92,6,2.48,clear sky
437,Bilibino,RU,68.05,166.44,-16.42,-16.42,100,47,1.81,scattered clouds
50,Cherskiy,RU,68.75,161.3,-14.24,-14.24,96,11,6.13,few clouds
313,Leningradskiy,RU,69.38,178.42,-13.47,-13.47,100,100,3.56,overcast clouds
34,Tuktoyaktuk,CA,69.45,-133.04,-13,-13,77,20,9.22,few clouds
101,Saskylakh,RU,71.92,114.08,-12.89,-12.89,90,39,8.25,scattered clouds
184,Thompson,CA,55.74,-97.86,-8.28,-8.28,100,68,4,broken clouds
130,Chokurdakh,RU,70.63,147.92,-8.19,-8.19,85,84,8.25,broken clouds
342,Iqaluit,CA,63.75,-68.51,-7.87,-7.87,77,0,4.61,clear sky
116,Khatanga,RU,71.97,102.5,-7.62,-7.62,88,34,7.61,scattered clouds
153,Belaya Gora,RU,68.53,146.42,-6.81,-6.81,86,70,5.37,broken clouds
0,Upernavik,GL,72.79,-56.15,-5.46,-5.46,68,16,2.55,few clouds
661,Evensk,RU,61.95,159.23,-4.63,-4.63,88,4,2.62,clear sky
533,Srednekolymsk,RU,67.45,153.68,-3.28,-3.28,87,13,4.27,few clouds
85,Deputatsky,RU,69.3,139.9,-2.79,-2.79,88,94,2.33,overcast clouds
190,Clyde River,CA,70.47,-68.59,-1.97,-1.97,78,75,9.22,light snow
18,Yellowknife,CA,62.46,-114.35,-1.68,-1.68,84,40,10.36,scattered clouds
88,Tiksi,RU,71.69,128.87,-1.23,-1.23,98,100,3.6,overcast clouds
590,Seymchan,RU,62.88,152.43,-0.02,-0.02,90,40,1.41,scattered clouds
607,Kautokeino,NO,69.01,23.04,0.45,0.45,78,66,9.89,broken clouds
344,Dukat,RU,62.55,155.55,2.01,2.01,85,0,2.93,clear sky
529,Macamic,CA,48.75,-79,2.53,2.53,95,100,9.24,overcast clouds
152,Usinsk,RU,65.99,57.53,2.64,2.64,99,100,6.73,overcast clouds
475,Pangnirtung,CA,66.15,-65.71,3,3,64,1,5.53,clear sky
281,Tilichiki,RU,60.47,166.1,3.06,3.06,86,88,7.2,overcast clouds
380,Fairbanks,US,64.84,-147.72,-2.51,3.09,81,0,0,mist
211,Sioux Lookout,CA,50.1,-91.92,3.33,3.33,98,69,4.72,broken clouds
502,Zhigansk,RU,66.77,123.37,3.63,3.63,93,100,12.57,overcast clouds
522,Anadyr,RU,64.75,177.48,3.7,3.7,78,0,11.18,clear sky
217,Hay River,CA,60.82,-115.8,3.85,3.85,96,99,9.31,overcast clouds
450,Zyryanka,RU,65.75,150.85,4.15,4.15,84,37,11.97,scattered clouds
57,Egvekinot,RU,66.32,-179.17,4.32,4.32,92,100,7.47,overcast clouds
242,La Ronge,CA,55.1,-105.28,4.33,4.33,98,97,7.36,overcast clouds
308,Batagay,RU,67.63,134.63,5.2,5.2,84,22,3.51,few clouds
291,Buy,RU,58.48,41.53,6.39,6.39,100,96,3.62,overcast clouds
674,Ossora,RU,59.24,163.07,6.78,6.78,83,56,3.98,broken clouds
136,Tasiilaq,GL,65.61,-37.64,6.96,6.96,82,10,2.82,clear sky
117,Talnakh,RU,69.49,88.4,7.21,7.21,87,100,13.06,overcast clouds
45,Dikson,RU,73.51,80.55,7.41,7.41,87,100,11.74,overcast clouds
360,Udachny,RU,66.42,112.4,7.45,7.45,71,30,11.01,scattered clouds
227,Dudinka,RU,69.41,86.18,7.63,7.63,91,100,17.81,overcast clouds
73,Qaanaaq,GL,77.48,-69.36,7.68,7.68,68,100,3.85,overcast clouds
575,Kalanguy,RU,51.02,116.52,8.19,8.19,75,90,17.47,overcast clouds
63,Mayo,CA,63.59,-135.9,8.6,8.6,47,0,4.61,clear sky
637,Bol'shoye Selo,RU,57.72,38.93,8.64,8.64,98,100,6.02,overcast clouds
120,Tura,RU,64.28,100.25,8.64,8.64,86,100,11.54,light snow
84,Tommot,RU,58.96,126.29,8.92,8.92,94,100,10.69,light snow
138,Yerbogachën,RU,61.28,108.01,8.96,8.96,81,42,9.53,scattered clouds
287,Joensuu,FI,62.6,29.76,8.31,9.09,88,99,10,overcast clouds
250,Atikokan,CA,48.76,-91.62,9.23,9.23,95,59,4.79,broken clouds
265,Ostrovnoy,RU,68.05,39.51,10.51,10.51,96,81,15.61,broken clouds
161,Iskateley,RU,67.68,53.15,10.58,10.58,95,100,11.86,overcast clouds
90,Barraute,CA,48.43,-77.63,10.67,10.67,94,100,10.18,overcast clouds
617,Kirkland Lake,CA,48.14,-80.04,10.69,10.69,79,100,6.91,overcast clouds
378,Spirit River,CA,55.78,-118.84,10.83,10.83,95,100,6.89,light snow
639,Arman',RU,59.7,150.17,11.07,11.07,90,8,1.45,clear sky
