City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Maragogi,BR,-9.01,-35.22,79.86,78,90,10.63,overcast clouds
Emerald,AU,-23.53,148.17,72.34,94,12,6.02,few clouds
Margate,ZA,-30.86,30.37,73.29,88,27,16.04,scattered clouds
Nemuro,JP,43.32,145.57,33.39,77,100,9.28,overcast clouds
Punta Arenas,CL,-53.15,-70.92,50.11,46,75,13.8,broken clouds
Qaanaaq,GL,77.48,-69.36,-3.14,69,99,7.14,overcast clouds
Puerto Ayora,EC,-0.74,-90.35,89.56,84,8,15.01,clear sky
Clyde River,CA,70.47,-68.59,-7.37,77,75,4.61,broken clouds
Alice Springs,AU,-23.7,133.88,72.95,27,11,6.91,few clouds
Punta Arenas,CL,-53.15,-70.92,50.11,46,75,13.8,broken clouds
Salalah,OM,17.02,54.09,75.72,63,100,1.5,overcast clouds
Kapaa,US,22.08,-159.32,81.1,67,75,9.22,broken clouds
Tuktoyaktuk,CA,69.45,-133.04,-16.6,76,40,13.8,scattered clouds
Modāsa,IN,23.47,73.3,79.32,18,3,6.82,clear sky
Punta Arenas,CL,-53.15,-70.92,50.11,46,75,13.8,broken clouds
Nidzica,PL,53.36,20.43,48.78,92,99,16.06,overcast clouds
Yellowknife,CA,62.46,-114.35,3.72,66,20,9.22,few clouds
Mahébourg,MU,-20.41,57.7,79.09,73,20,11.5,light rain
Rikitea,PF,-23.12,-134.97,79.93,80,14,17.36,light rain
Busselton,AU,-33.65,115.33,59.22,91,100,5.32,overcast clouds
Bathsheba,BB,13.22,-59.52,84.81,61,40,18.41,scattered clouds
Bonthe,SL,7.53,-12.51,77.81,87,30,6.53,scattered clouds
East London,ZA,-33.02,27.91,74.19,86,0,14.63,clear sky
Los Llanos de Aridane,ES,28.66,-17.92,68.13,72,75,11.5,broken clouds
Georgetown,SH,-7.93,-14.42,80.6,78,45,15.32,scattered clouds
Port-Gentil,GA,-0.72,8.78,82.36,89,20,4.61,few clouds
Aklavik,CA,68.22,-135.01,-5.13,79,100,7.11,overcast clouds
Lompoc,US,34.64,-120.46,73.02,75,75,5.75,broken clouds
Ushuaia,AR,-54.8,-68.3,51.46,37,20,9.22,few clouds
Andra,RU,62.51,65.89,34.32,99,100,17.09,light snow
Hambantota,LK,6.12,81.12,76.41,85,10,11.74,clear sky
Bumba,CD,2.18,22.47,70.74,95,85,1.83,light rain
Port Alfred,ZA,-33.59,26.89,68.18,93,3,13.09,clear sky
Punta Arenas,CL,-53.15,-70.92,50.11,46,75,13.8,broken clouds
Vestmanna,FO,62.16,-7.17,29.32,86,100,27.63,light snow
Port Augusta,AU,-32.5,137.77,65.39,41,17,3.11,few clouds
Busselton,AU,-33.65,115.33,59.22,91,100,5.32,overcast clouds
Yichun,CN,47.7,128.9,7.48,94,38,2.3,scattered clouds
Carnarvon,AU,-24.87,113.63,76.71,63,0,20.27,clear sky
Jamestown,SH,-15.94,-5.72,70.92,80,98,13.65,overcast clouds
Maebaru-chūō,JP,33.55,130.2,35.28,50,3,2.51,clear sky
Ulaangom,MN,49.98,92.07,5.77,71,5,4.43,clear sky
João Pinheiro,BR,-17.74,-46.17,74.91,75,89,6.73,overcast clouds
