,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Norman Wells,CA,-17.48,scattered clouds,65.28,-126.83,Yamouri Inn
1,Tuktoyaktuk,CA,-13.0,few clouds,69.45,-133.04,Hunter's B&B
2,Thompson,CA,-8.28,broken clouds,55.74,-97.86,Meridian Hotel and Lone Wolf Cafe
3,Iqaluit,CA,-7.87,clear sky,63.75,-68.51,Frobisher Inn
4,Khatanga,RU,-7.62,scattered clouds,71.97,102.5,Хатанга
5,Yellowknife,CA,-1.68,scattered clouds,62.46,-114.35,Slave Lake Inn Yellowknife
6,Tiksi,RU,-1.23,overcast clouds,71.69,128.87,Арктика
7,Kautokeino,NO,0.45,broken clouds,69.01,23.04,Thon Hotel Kautokeino
8,Usinsk,RU,2.64,overcast clouds,65.99,57.53,общежитие Лукойл-Коми
9,Pangnirtung,CA,3.0,clear sky,66.15,-65.71,Auyuittuq Lodge
10,Tilichiki,RU,3.06,overcast clouds,60.47,166.1,Тиличики
11,Fairbanks,US,3.09,mist,64.84,-147.72,Westmark Fairbanks Hotel
12,Sioux Lookout,CA,3.33,broken clouds,50.1,-91.92,Wellington Inn & Restaurant
13,Zhigansk,RU,3.63,overcast clouds,66.77,123.37,ИП Пав
14,Anadyr,RU,3.7,clear sky,64.75,177.48,Гостевой дом
15,La Ronge,CA,4.33,overcast clouds,55.1,-105.28,The Harbour Inn
16,Batagay,RU,5.2,few clouds,67.63,134.63,Киселях
17,Tasiilaq,GL,6.96,clear sky,65.61,-37.64,Angmagssalik
18,Talnakh,RU,7.21,overcast clouds,69.49,88.4,Талнах
19,Udachny,RU,7.45,scattered clouds,66.42,112.4,Вилюй
20,Dudinka,RU,7.63,overcast clouds,69.41,86.18,Виктория
21,Qaanaaq,GL,7.68,overcast clouds,77.48,-69.36,Hotel Qaanaaq
22,Tura,RU,8.64,light snow,64.28,100.25,Guest house
23,Tommot,RU,8.92,light snow,58.96,126.29,Томмот
24,Joensuu,FI,9.09,overcast clouds,62.6,29.76,GreenStar Hotel Joensuu
25,Iskateley,RU,10.58,overcast clouds,67.68,53.15,Авантаж
26,Koryazhma,RU,11.61,overcast clouds,61.31,47.17,Белые Ночи
27,Kologriv,RU,11.7,overcast clouds,58.83,44.32,Кологрив
28,Mehamn,NO,12.11,broken clouds,71.04,27.85,Mehamn Artic Hotell
29,Vardø,NO,12.18,few clouds,70.37,31.11,Meieriet
30,Kargil,IN,12.45,broken clouds,34.57,76.1,Border view
31,Östersund,SE,12.61,broken clouds,63.18,14.64,Hotell Stortorget
32,Hofn,IS,13.3,clear sky,64.25,-15.21,Hotel Edda
33,Longyearbyen,SJ,13.84,broken clouds,78.22,15.64,Radisson Blu Polar
34,Shilka,RU,13.84,overcast clouds,51.85,116.03,Силкари
35,Haines Junction,CA,13.95,overcast clouds,60.75,-137.51,Parkside Inn
