,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
278,Kashgar,CN,60.01,dust,39.45,75.98,深航国际酒店
279,Salamiyah,SY,60.08,clear sky,35.01,37.05,فندق السلام
280,Lagoa,PT,60.15,overcast clouds,39.05,-27.98,Casa da Madrinha
281,Ardeşen,TR,60.24,overcast clouds,41.19,40.99,No hotel found
282,Gazojak,TM,60.3,overcast clouds,41.19,61.4,Жайхун
283,Katsuura,JP,60.51,clear sky,35.13,140.3,潮騒の宿
284,Sayyan,YE,60.73,scattered clouds,15.17,44.32,No hotel found
285,Hermanus,ZA,60.8,light rain,-34.42,19.23,Hermanus Backpackers
286,Te Anau,NZ,61.0,overcast clouds,-45.42,167.72,Kingsgate Hotel
287,Teguise,ES,61.02,clear sky,29.06,-13.56,Finca Las Laderas
289,Bluff,NZ,61.68,broken clouds,-46.6,168.33,No hotel found
290,Jumla,NP,61.86,clear sky,29.27,82.18,Valley view
291,Camacha,PT,62.02,scattered clouds,33.08,-16.33,Praia Dourada
294,San Ignacio,PE,62.26,light rain,-5.15,-79.0,El Gran Hotel
295,Kaitangata,NZ,62.53,overcast clouds,-46.28,169.85,No hotel found
297,Saldanha,ZA,62.65,overcast clouds,-33.01,17.94,Hoedjesbaai
298,Buraidah,SA,62.71,clear sky,26.33,43.98,دنا للوحدات السكنية
299,Ribeira Grande,PT,62.78,light rain,38.52,-28.7,No hotel found
300,Kruisfontein,ZA,62.89,scattered clouds,-34.0,24.73,No hotel found
302,Vila Franca do Campo,PT,63.01,heavy intensity rain,37.72,-25.43,Vinha d'Areia Beach Hotel
303,Hokitika,NZ,63.05,broken clouds,-42.72,170.97,Beachfront Hotel
304,Bredasdorp,ZA,63.19,broken clouds,-34.53,20.04,Victoria Hotel
306,Benghazi,LY,63.72,clear sky,32.12,20.07,فندق
307,Navolato,MX,63.79,scattered clouds,24.77,-107.69,No hotel found
308,Luena,AO,63.81,light rain,-11.78,19.92,No hotel found
309,Nurota,UZ,63.93,overcast clouds,40.56,65.69,Nurota
310,Sakakah,SA,63.97,clear sky,29.97,40.21,فندق النزل
311,Shimoda,JP,64.11,clear sky,34.67,138.95,黒船ホテル
312,Coquimbo,CL,64.13,overcast clouds,-29.95,-71.34,Hotel Liverpool
313,Nagato,JP,64.27,clear sky,34.38,131.2,きらく
315,Tuatapere,NZ,64.38,overcast clouds,-46.13,167.68,No hotel found
316,Shingū,JP,64.47,clear sky,33.73,135.98,ホテルニューパレス
317,Riyadh,SA,64.54,broken clouds,24.69,46.72,No hotel found
318,Portland,AU,64.78,scattered clouds,-38.33,141.6,No hotel found
319,San Vicente,AR,64.78,clear sky,-26.62,-54.13,Los Lapachos
320,Kansanshi,ZM,64.8,light rain,-12.1,26.43,No hotel found
321,Dawlatabad,AF,64.89,overcast clouds,36.41,64.91,No hotel found
322,Itoigawa,JP,65.01,clear sky,37.03,137.85,たつみ旅館
323,Kapaa,US,65.12,broken clouds,22.08,-159.32,Coral Reef Resort
324,Lalibela,ET,65.14,scattered clouds,12.03,39.03,Roha Hotel
325,Shizilu,CN,65.16,overcast clouds,35.17,118.83,No hotel found
326,Kambove,CD,65.19,overcast clouds,-10.88,26.6,No hotel found
327,Tolaga Bay,NZ,65.37,few clouds,-38.37,178.3,No hotel found
328,Necochea,AR,65.7,broken clouds,-38.55,-58.74,Cabañas Río Quequén
329,Jobabo,CU,66.22,clear sky,20.97,-76.3,Casa central MININT
330,Abbeville,US,66.22,mist,29.97,-92.13,Days Inn by Wyndham Abbeville
331,Monteagudo,BO,66.58,broken clouds,-19.82,-63.98,Residencial San José
